title,date
"대명소노시즌, 50억원 규모 두나무 지분 취득",2021-12-06 16:50
"메가박스중앙, 중앙멀티플렉스개발 지분 전량 처분 결정",2021-12-06 16:44
"셀트리온헬스케어, 셀트리온홀딩스 외 34명으로 최대주주 변경",2021-12-06 16:37
"셀트리온헬스케어, 최대주주 변경…지배구조 단일화",2021-12-06 16:34
"셀트리온헬스케어, 지배구조 단일화에 최대주주 변경",2021-12-06 16:27
"휴먼엔, 25.8억원 규모 국내 해상고철 납품 계약",2021-12-06 16:27
"휴먼엔, 국내 해상고철 공급계약…26억원 규모",2021-12-06 16:09
"휴먼엔, 26억 규모 국내 해상고철 공급계약",2021-12-06 16:03
"삼성엔지니어링, 얀부 발전 관련 ICSID 중재 기각돼",2021-12-06 15:12
"혜인, 삼강엠앤티와 581억 규모 공급 계약",2021-12-06 15:02
"SNT중공업, 방위사업청과 189억 규모 공급 계약",2021-12-06 15:00
"대우건설, 2701억 규모 공사 수주",2021-12-06 14:58
"HB솔루션, 삼성디스플레이와 46억 규모 장비 공급 계약",2021-12-06 14:56
"혜인, 삼강엠앤티와 581억원 규모 공급계약 체결 [주목 e공시]",2021-12-06 14:55
"와이아이케이, 삼성전자와 150억 규모 검사장비 공급 계약",2021-12-06 14:52
"젠큐릭스, 유방암환자 예후 예측 방법 특허 취득",2021-12-06 14:51
"자연과환경, 포스코건설로부터 233억 규모 공사 수주",2021-12-06 14:48
"혜인, 삼강엠앤티와 581억 규모 공급계약 체결",2021-12-06 14:48
"슈프리마아이디, 프랑스 IN그룹에 전자여권 발급용 지문 등록 솔루션 공급 계약",2021-12-06 14:47
"필옵틱스, 삼성디스플레이와 269억 규모 장비 공급 계약",2021-12-06 14:45
"에스티큐브, 면역항암제 임상 1상 신청",2021-12-06 14:43
"HB솔루션, 삼성디스플레이 베트남과 46억 규모 공급계약 체결",2021-12-06 14:16
"디알젬, 200억원 규모 단기차입금 증가 결정",2021-12-06 14:16
"HB솔루션, 46억원 규모 장비공급 계약",2021-12-06 14:15
"와이아이케이, 삼성전자에 149.6억원 규모 반도체 검사장비 공급",2021-12-06 14:14
"와이아이케이, 150억 규모 반도체 검사장비 공급계약",2021-12-06 14:04
