title,date
"엔투텍, 105억원 규모 유상증자 결정",2021-09-28 16:32
"해성티피씨, 주당 1주 배정 무상증자 결정",2021-09-28 16:23
"해성티피씨, 주당 1주 무상증자 결정",2021-09-28 16:15
"비디아이, 230억원 규모 해저케이블 관련 공급계약 체결",2021-09-28 16:07
"엘비세미콘, 955억원 규모 신규시설투자 결정",2021-09-28 16:04
"비디아이, 230억 규모 해저케이블 공급계약",2021-09-28 16:03
"네이블커뮤니케이션즈, 22.7억원 규모 공급계약 체결",2021-09-28 16:02
"노터스, 10억규모 자사주 취득 계약 해지 결정",2021-09-28 15:59
"엘비세미콘, 955억 규모 신규시설 투자",2021-09-28 15:58
"아래스, 박래성씨로 최대주주 변경",2021-09-28 15:57
"동신건설, 56.7억원 규모 하수도 설치사업 공급계약 체결",2021-09-28 15:54
"윈텍, 12.8억원 규모 공급계약 체결",2021-09-28 15:53
"퓨쳐스트림네트웍스, 에프에스엔로 상호변경",2021-09-28 15:51
"네이블, 삼성전자와 23억 규모 공급계약 체결",2021-09-28 15:45
"동신건설, 57억 규모 울진군 농어촌마을하수도 설치사업 수주",2021-09-28 15:27
"윈텍, SK넥실리스와 13억 규모 공급계약 체결",2021-09-28 15:24
"KCC건설, 1892억 규모  양주옥정 신축공사 계약 체결[주목 e공시]",2021-09-28 14:04
"KCC건설, 1892억 규모 신축공사 수주",2021-09-28 13:59
"KCC건설, 1892억원 규모 양주옥정 신축공사",2021-09-28 13:58
"CJ제일제당, CJ셀렉타 매각설에 ""전략적 방안 검토 중""",2021-09-28 13:13
"CJ제일제당, “CJ셀렉타 매각…결정된 사항 없어”",2021-09-28 11:30
"데크항공, 하이즈그린에너지 흡수합병 결정",2021-09-28 11:16
"비에이치아이, 555억 규모 화력발전소 환경설비 공급계약 체결[주목 e공시]",2021-09-28 10:52
"[특징주] 비에이치아이, 555억원 규모 공급계약에 ‘급등’",2021-09-28 10:34
"흥아해운, 104억원 규모 나용선 계약 체결",2021-09-28 10:06
"비에이치아이, 555억 규모 화력발전소 환경설비 공급계약",2021-09-28 10:04
"두산퓨얼셀, 700억대 규모 연료전지 시스템 공급계약",2021-09-28 09:32
"한컴라이프케어, 방위사업청과 54억 규모 공급계약 체결",2021-09-28 09:25
"SK이노베이션, 美 포드 합작법인 설립에 5조1175억 투자 결정",2021-09-28 09:20
"흥아해운, 104억 규모 포항파이오니어호 BBC계약",2021-09-28 08:32
"흥아해운, 104억원 규모 포항파이오니어호 BBC계약 체결[주목 e공시]",2021-09-28 08:30
"SK이노베이션, 美 포드 배터리 합작사에 약 5조원 투자[주목 e공시]",2021-09-28 08:15
"SK이노베이션, 미국 배터리 사업 확장…5조원 규모 투자 예정",2021-09-28 07:58
[e공시 눈에 띄네] 코스닥-27일,2021-09-28 07:52
[e공시 눈에 띄네] 코스피-27일,2021-09-28 07:50
[재송]27일 장 마감 후 주요 종목뉴스,2021-09-28 07:02
[코스피·코스닥 전 거래일(27일) 주요공시],2021-09-28 06:05
[코스닥 기업공시] (27일) 원티드랩 등,2021-09-28 02:17
[코스닥 메모] (28일) 신규상장=프롬바이오(377220) 등,2021-09-28 02:17
[유가증권 기업공시] (27일) 현대모비스 등,2021-09-28 02:16
[유가증권 메모] (28일) 보통주추가상장=다스코(전환),2021-09-28 02:16
27일 장 마감 후 주요 종목뉴스,2021-09-27 18:39
"지나인제약, 김봉남 대표이사로 변경",2021-09-27 18:33
"피에스케이, 200억원 규모 자사주 신탁계약 체결 결정",2021-09-27 18:29
"노터스, 바이오톡스텍 대상 20억원 규모 자사주 처분",2021-09-27 18:17
"휴먼엔, 임시주주총회 소집 허가 판결",2021-09-27 17:50
"원일특강, 33억원에 효성금속 지분 100% 인수",2021-09-27 17:50
"삼성중공업, 일본 인펙스사와 '화해'...손해배상 소송 일단락",2021-09-27 17:47
"아미코젠, 610억원 규모 바이오의약품 생산시설 투자",2021-09-27 17:36
"동방, 307억 규모 유상증자 결정...“운영 및 채무상환 자금 마련”",2021-09-27 17:33
"SK D&D, 회사분할 결정...‘내년 1월 가구사업 분리’",2021-09-27 17:27
"DL이앤씨, 2733억 규모 방배 재건축 공사수주 계약 해지",2021-09-27 17:14
"아미코젠, 610억 규모 신규시설 투자",2021-09-27 16:40
"원일특강, 효성금속 주식 66만주 33억원에 취득",2021-09-27 16:35
"엠에스오토텍, 종속회사 명신산업황성 흡수합병",2021-09-27 16:28
"이아이디, 350억 추가 차입 결정...“논현동 토지대금 잔금 납부”",2021-09-27 16:11
"카이노스메드, 자회사에 신경계질환 치료제 기술이전 계약",2021-09-27 16:04
"네패스, 종속회사에 600억규모 채무보증 결정",2021-09-27 15:53
"네패스, 자회사에 500억 규모 채무보증 결정",2021-09-27 15:30
"원바이오젠, 27억 규모 경북 구미 토지·건물 양수 결정",2021-09-27 15:28
"오비고, 현대모비스와 15억 규모 스마트카 서비스 개발 계약 체결",2021-09-27 15:25
"삼성바이오로직스,  ‘호프만-라로슈’와 CMO 계약 증액...390억→2342억",2021-09-27 15:06
"삼화네트웍스, 드라마 '지금부터 쇼타임' 라이선스 판매",2021-09-27 15:00
